类别,名称,版本,SPDX,使用范围,说明
直接依赖,androidx.core:core-ktx,1.13.1,Apache-2.0,运行时,AndroidX 核心扩展
直接依赖,androidx.appcompat:appcompat,1.7.0,Apache-2.0,运行时,兼容组件
直接依赖,com.google.android.material:material,1.12.0,Apache-2.0,运行时,Material Design 组件
直接依赖,androidx.constraintlayout:constraintlayout,2.1.4,Apache-2.0,运行时,布局
直接依赖,androidx.lifecycle:lifecycle-runtime-ktx,2.8.7,Apache-2.0,运行时,生命周期
直接依赖,androidx.work:work-runtime-ktx,2.9.1,Apache-2.0,运行时(kid),WorkManager 保活
直接依赖,com.squareup.okhttp3:okhttp,4.12.0,Apache-2.0,运行时,HTTP 客户端(CloudBase REST)
直接依赖,com.google.code.gson:gson,2.11.0,Apache-2.0,运行时,JSON
直接依赖,org.jetbrains.kotlinx:kotlinx-coroutines-core,1.8.1,Apache-2.0,运行时,协程
直接依赖,org.jetbrains.kotlin:kotlin-stdlib,2.2.20,Apache-2.0,运行时,Kotlin 标准库
直接依赖,androidx.databinding:viewbinding,8.13.1,Apache-2.0,编译,ViewBinding(AGP 生成)
直接依赖,junit:junit,4.13.2,EPL-2.0,仅测试,单元测试(不打包进 APK)
传递依赖,androidx.annotation:annotation(-jvm),1.8.1,Apache-2.0,运行时,—
传递依赖,androidx.core:core,1.13.1,Apache-2.0,运行时,—
传递依赖,androidx.collection:collection,1.1.0,Apache-2.0,运行时,—
传递依赖,androidx.activity:activity,1.8.0,Apache-2.0,运行时,—
传递依赖,androidx.fragment:fragment,1.5.4,Apache-2.0,运行时,—
传递依赖,androidx.savedstate:savedstate,1.2.1,Apache-2.0,运行时,—
传递依赖,androidx.lifecycle:lifecycle-* (全套),2.8.7,Apache-2.0,运行时,含 common/runtime/livedata/viewmodel/savedstate/process/service
传递依赖,androidx.arch.core:core-common / core-runtime,2.2.0,Apache-2.0,运行时,—
传递依赖,androidx.emoji2:emoji2(-views-helper),1.3.0,Apache-2.0,运行时,—
传递依赖,androidx.recyclerview:recyclerview,1.1.0,Apache-2.0,运行时,—
传递依赖,androidx.viewpager2:viewpager2,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.vectordrawable:vectordrawable(-animated),1.1.0,Apache-2.0,运行时,—
传递依赖,androidx.cardview:cardview,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.coordinatorlayout:coordinatorlayout,1.1.0,Apache-2.0,运行时,—
传递依赖,androidx.drawerlayout:drawerlayout,1.1.1,Apache-2.0,运行时,—
传递依赖,androidx.transition:transition,1.5.0,Apache-2.0,运行时,—
传递依赖,androidx.dynamicanimation:dynamicanimation,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.profileinstaller:profileinstaller,1.3.1,Apache-2.0,运行时,—
传递依赖,androidx.startup:startup-runtime,1.1.1,Apache-2.0,运行时,—
传递依赖,androidx.sqlite:sqlite(-framework),2.3.0,Apache-2.0,运行时,—
传递依赖,androidx.room:room-common/runtime/ktx,2.5.0,Apache-2.0,运行时,经 work 传递
传递依赖,androidx.concurrent:concurrent-futures,1.1.0,Apache-2.0,运行时,—
传递依赖,androidx.interpolator:interpolator,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.loader:loader,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.customview:customview,1.1.0,Apache-2.0,运行时,—
传递依赖,androidx.documentfile:documentfile,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.legacy:legacy-support-core-utils,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.localbroadcastmanager:localbroadcastmanager,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.print:print,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.cursoradapter:cursoradapter,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.resourceinspection:resourceinspection-annotation,1.0.1,Apache-2.0,运行时,—
传递依赖,androidx.tracing:tracing,1.0.0,Apache-2.0,运行时,—
传递依赖,androidx.versionedparcelable:versionedparcelable,1.1.1,Apache-2.0,运行时,—
传递依赖,androidx.annotation:annotation-experimental,1.4.0,Apache-2.0,运行时,—
传递依赖,androidx.appcompat:appcompat-resources,1.7.0,Apache-2.0,运行时,—
传递依赖,com.squareup.okio:okio,3.6.0,Apache-2.0,运行时,—
传递依赖,org.jetbrains:annotations,23.0.0,Apache-2.0,运行时,—
传递依赖,com.google.errorprone:error_prone_annotations,2.27.0,Apache-2.0,运行时,—
传递依赖,com.google.guava:listenablefuture,1.0,Apache-2.0,运行时,—
传递依赖,org.jetbrains.kotlinx:kotlinx-coroutines-android / bom,1.8.1,Apache-2.0,运行时,—
传递依赖,org.jetbrains.kotlin:kotlin-stdlib-jdk7/jdk8/common,1.9.10,Apache-2.0,运行时,—
参考项目,KidSafe (github.com/xMansour/KidSafe),master,MIT,设计参考,卡片列表 UI 形式
参考项目,cst (github.com/childscreentime/cst),main,无许可证(默认保留权利),设计参考,全屏遮罩/前台拉回/WorkManager 思路;无代码复制
参考项目,TestDPC (github.com/googlesamples/android-testdpc),d42d7f19,Apache-2.0,平台 API 用法参考,DeviceOwner/PackageInstaller
参考项目,Headwind MDM (github.com/h-mdm/hmdm-android),6bf2ea29,Apache-2.0,设计参考,远程配置/更新队列/启动恢复思路
参考项目,Curbox (github.com/curbox-app/curbox-android),f86e6bff, GPL-3.0-or-later,设计参考,规则日历/限制比较器/反卸载思路;无代码复制
参考项目,APKUpdater (github.com/rumboalla/apkupdater),69b6fcdf,GPL-3.0,设计参考,安装会话思路;无代码复制
参考项目,Chastify (github.com/kiks71/chastify),main,无许可证,已排除,提交信息误引,浏览器扩展项目与 Android 无关(用户确认)
自有资产,应用图标 ic_app_icon.png,—,—,自研,用户确认自研设计
自有资产,中文 UI 文案/分类表/注释/测试,—,—,自研,原创
平台,Android SDK (compileSdk 34 / minSdk 26 / targetSdk 34),—,平台 API,平台能力,PackageInstaller/DevicePolicyManager/AccessibilityService/UsageStats/WorkManager/WindowManager 等
构建工具,Gradle 9.1.0 wrapper / AGP 8.13.1 / Kotlin 2.2.20 / JDK 17 目标,Apache-2.0,构建工具,非发布产物
